FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,NVFAULTS_D,NVFAULTS_1,ARC_CODE,ARC_PARA1,ARC_PARA2,SOURCE,ROCKTYPE1,ROCKTYPE2
9107,9251,2510,2942,0.01817869777,5112,11555,4,0,0,NV001,chert,ash-flow tuff
9301,9282,2510,2510,0.00169218347,5136,11622,4,0,0,NV001,none,none
9301,9362,2510,2942,0.00605329516,5173,11706,4,0,0,NV001,chert,ash-flow tuff
9362,9335,2510,2942,0.01352758349,5174,11707,4,0,0,NV001,none,none
9363,9372,2510,2510,0.00319331293,5178,11703,4,0,0,NV001,chert,sandstone
9372,9386,3053,2510,0.00505913113,5190,11727,4,0,0,NV001,none,none
9386,9394,2510,2510,0.00295303887,5196,11748,4,0,0,NV001,none,none
9362,9398,2510,2510,0.00463048614,5199,11763,4,0,0,NV001,none,none
9458,9422,3065,3065,0.00440108055,5233,11491,4,0,0,NV001,none,none
9463,9431,3066,3066,0.00437266225,5236,11387,4,0,0,NV001,rhyolite,none
9494,9463,2510,3066,0.0039227836,5252,11437,4,0,0,NV001,none,none
9495,9333,2510,2510,0.02054619,5253,11587,4,0,0,NV001,chert,none
9494,9531,2510,2510,0.00580259948,5276,11516,4,0,0,NV001,none,none
9534,9513,2510,2510,0.00215993245,5279,11531,4,0,0,NV001,none,none
9535,9454,2510,2510,0.01052435304,5281,11639,4,0,0,NV001,chert,conglomerate
9555,9551,2510,2510,0.00150111916,5293,11542,4,0,0,NV001,sandstone,none
9557,9556,3110,2510,0.00150462129,5294,11545,4,0,0,NV001,none,none
9557,9562,2832,3110,0.00620214102,5297,11564,4,0,0,NV001,none,none
9562,9570,2832,2510,0.00476558988,5301,11591,4,0,0,NV001,sandstone,none
9570,9575,2832,3114,0.00679251243,5305,11613,4,0,0,NV001,none,none
9534,9575,3114,2510,0.00623591965,5306,11614,4,0,0,NV001,none,none
9597,9458,2510,2510,0.01779943677,5317,11732,4,0,0,NV001,chert,conglomerate
9623,9481,2510,2510,0.02084261266,5329,11880,4,0,0,NV001,chert,none
9649,9604,2510,2510,0.00870719074,5342,12084,4,0,0,NV001,none,none
9720,9649,3157,2510,0.01002266066,5379,12168,4,0,0,NV001,none,none
9720,9733,2510,2510,0.00132664763,5386,12186,4,0,0,NV001,none,none
9825,9708,3042,3079,0.01231911003,5440,12290,5,0,0,NV001,sandstone,none
9886,9809,2510,2510,0.01019467507,5478,12294,4,0,0,NV001,none,none
9825,9946,3079,3217,0.01712040539,5511,12433,5,0,0,NV001,none,none
9990,10036,3207,3265,0.00475587365,5564,12470,4,0,0,NV001,none,none
9815,10051,3208,3207,0.03227583756,5570,12487,5,0,0,NV001,dolostone (dolomite),chert
9575,10074,2832,2510,0.07315611835,5584,12336,4,0,0,NV001,chert,sandstone
10376,10419,3404,3296,0.00602352622,5753,12773,4,0,0,NV001,chert,none
10327,10461,2832,2510,0.01897270695,5768,12708,4,0,0,NV001,chert,sandstone
10463,10443,3296,3296,0.00310324117,5770,12829,4,0,0,NV001,none,none
10419,10492,3423,3296,0.00979655354,5785,12871,4,0,0,NV001,dolostone (dolomite),none
10492,10463,3449,3296,0.00495940518,5786,12872,4,0,0,NV001,none,none
10492,10576,3423,3449,0.01196603189,5826,12965,4,0,0,NV001,dolostone (dolomite),none
10596,10567,3423,3491,0.00483946327,5840,12978,4,0,0,NV001,none,none
10576,10596,3423,3493,0.00471613976,5841,12979,4,0,0,NV001,none,none
10596,10608,3491,3493,0.00373037074,5846,12996,4,0,0,NV001,none,none
10608,10611,3491,3491,0.0015825505,5847,13000,4,0,0,NV001,limestone,none
10642,10583,3491,2510,0.00870144002,5865,13022,10,0,0,NV001,chert,dolostone (dolomite)
10643,10608,3493,3491,0.00502473826,5866,13035,4,0,0,NV001,none,none
10463,10663,3449,3296,0.02864430433,5882,13074,4,0,0,NV001,dolostone (dolomite),chert
10672,10642,3491,3517,0.00455979812,5886,13057,10,0,0,NV001,limestone,dolostone (dolomite)
10696,10642,3517,2510,0.01555273727,5897,13069,10,0,0,NV001,none,none
10705,10276,2510,2510,0.07328679125,5900,13061,4,0,0,NV001,chert,none
10705,10696,3537,2510,0.01569516824,5909,13082,10,0,0,NV001,chert,dolostone (dolomite)
10728,10672,3518,3517,0.00808797692,5912,13125,10,0,0,NV001,none,none
10732,10643,3493,3518,0.01246600895,5915,13145,4,0,0,NV001,limestone,dolostone (dolomite)
10771,10728,3554,3537,0.00628998995,5927,13178,10,0,0,NV001,none,none
10767,10794,3573,3512,0.00630579329,5943,13227,4,0,0,NV001,limestone,none
10836,10789,3537,3537,0.00501641114,5966,13215,4,0,0,NV001,limestone,none
10868,10705,3537,2510,0.03609976098,5988,13190,10,0,0,NV001,limestone,dolostone (dolomite)
10870,10836,3574,3574,0.00374162798,5990,13233,4,0,0,NV001,none,none
10930,10771,3554,3574,0.02432503438,6025,13292,10,0,0,NV001,limestone,none
10937,10930,3574,3574,0.00183368688,6031,13302,10,0,0,NV001,none,none
10794,10938,3573,3585,0.01732239687,6032,13329,4,0,0,NV001,limestone,dolostone (dolomite)
10960,10910,3573,3554,0.00763808338,6044,13344,4,0,0,NV001,dolostone (dolomite),none
11023,9946,3107,3107,0.19934826986,6069,13578,52,0,0,NV001,alluvium,none
11106,11101,3574,3574,0.00599491911,6104,13423,4,0,0,NV001,none,none
11142,11045,3686,3554,0.01796350297,6121,13476,5,0,0,NV001,limestone,none
11148,11106,3574,3692,0.01382487489,6125,13449,4,0,0,NV001,limestone,none
11150,11134,3574,3574,0.00519720574,6126,13462,4,0,0,NV001,limestone,none
11150,11194,3574,3732,0.01395443401,6156,13494,4,0,0,NV001,none,none
11442,10461,3446,3447,0.15366185535,6281,13751,52,0,0,NV001,alluvium,none
